frame,t_rel,t_abs,mar,delta_mar,mar_bp,nose_lip_dist,delta_nose_lip_dist,chin_lip_dist,delta_chin_lip_dist,valid
232,7.733612,,0.077551,0.017848,0.024634,115.991058,10.095726,143.866745,1.298752,1
233,7.766946,,0.051599,-0.025952,0.023390,115.923370,-0.067688,143.271561,-0.595184,1
234,7.800281,,0.043322,-0.008277,0.018600,118.214066,2.290695,145.617447,2.345886,1
235,7.833616,,0.032369,-0.010953,0.011084,117.088669,-1.125397,144.823059,-0.794388,1
236,7.866950,,0.023931,-0.008438,0.002329,115.271866,-1.816803,146.350800,1.527740,1
237,7.900285,,0.024548,0.000617,-0.006151,115.880974,0.609108,145.523819,-0.826981,1
238,7.933619,,0.021157,-0.003391,-0.013007,112.544235,-3.336739,144.822372,-0.701447,1
239,7.966954,,0.010883,-0.010274,-0.017480,108.154884,-4.389351,142.048889,-2.773483,1
240,8.000288,,0.008421,-0.002461,-0.019353,105.587730,-2.567154,141.885681,-0.163208,1
241,8.033623,,0.007725,-0.000696,-0.018894,106.262810,0.675079,143.600723,1.715042,1
242,8.066957,,0.009309,0.001583,-0.016839,105.193008,-1.069801,145.186707,1.585983,1
243,8.100292,,0.012690,0.003381,-0.013935,104.906372,-0.286636,146.600647,1.413940,1
244,8.133626,,0.025263,0.012573,-0.010771,105.734886,0.828514,147.056000,0.455353,1
245,8.166961,,0.029790,0.004527,-0.007593,107.441696,1.706810,146.304596,-0.751404,1
246,8.200295,,0.026502,-0.003288,-0.004251,107.516914,0.075218,144.915985,-1.388611,1
247,8.233630,,0.023788,-0.002714,-0.000352,107.230446,-0.286469,143.434219,-1.481766,1
248,8.266964,,0.027204,0.003416,0.004422,110.453903,3.223457,140.690491,-2.743729,1
249,8.300299,,0.035543,0.008339,0.010060,109.373436,-1.080467,140.072357,-0.618134,1
250,8.333634,,0.039622,0.004079,0.016053,112.122459,2.749023,143.829041,3.756683,1
251,8.366968,,0.049615,0.009993,0.021425,115.172844,3.050385,143.230682,-0.598358,1
252,8.400303,,0.064875,0.015260,0.025039,115.647240,0.474396,143.710403,0.479721,1
253,8.433637,,0.056816,-0.008059,0.025854,114.482071,-1.165169,144.042099,0.331696,1
254,8.466972,,0.059318,0.002502,0.023495,115.643211,1.161140,146.836716,2.794617,1
255,8.500306,,0.041075,-0.018242,0.018187,117.119820,1.476608,144.886261,-1.950455,1
256,8.533641,,0.038205,-0.002870,0.010743,115.416756,-1.703064,149.870132,4.983871,1
257,8.566975,,0.024631,-0.013574,0.002464,114.142143,-1.274612,149.415314,-0.454819,1
258,8.600310,,0.024259,-0.000372,-0.005393,113.251518,-0.890625,152.304504,2.889191,1
259,8.633644,,0.018880,-0.005379,-0.011766,110.852783,-2.398735,150.532364,-1.772141,1
260,8.666979,,0.010012,-0.008868,-0.016129,107.601997,-3.250786,144.160156,-6.372208,1
261,8.700313,,0.007568,-0.002445,-0.018414,105.814003,-1.787994,146.780640,2.620483,1
262,8.733648,,0.008750,0.001182,-0.018914,107.386681,1.572678,146.716248,-0.064392,1
263,8.766982,,0.009814,0.001064,-0.018214,106.309471,-1.077209,146.687500,-0.028748,1
264,8.800317,,0.012349,0.002536,-0.016798,102.972099,-3.337372,146.702499,0.014999,1
265,8.833652,,0.015368,0.003019,-0.014923,104.869019,1.896919,147.273148,0.570648,1
266,8.866986,,0.020471,0.005103,-0.012563,105.367279,0.498260,147.338776,0.065628,1
267,8.900321,,0.020496,0.000024,-0.009455,105.050056,-0.317223,146.610992,-0.727783,1
268,8.933655,,0.017918,-0.002578,-0.005285,102.388153,-2.661903,146.033081,-0.577911,1
269,8.966990,,0.020488,0.002571,-0.000029,103.733940,1.345787,147.464142,1.431061,1
270,9.000324,,0.024799,0.004311,0.005944,106.996284,3.262344,152.833466,5.369324,1
271,9.033659,,0.040658,0.015858,0.011793,113.641724,6.645439,150.480225,-2.353241,1
272,9.066993,,0.054171,0.013514,0.016420,114.911629,1.269905,148.195511,-2.284714,1
273,9.100328,,0.055464,0.001293,0.018795,115.636536,0.724907,149.402420,1.206909,1
274,9.133662,,0.038355,-0.017110,0.018209,115.846611,0.210075,146.496063,-2.906357,1
275,9.166997,,0.044674,0.006320,0.014729,115.948906,0.102295,149.425430,2.929367,1
276,9.200331,,0.035487,-0.009187,0.008974,113.960999,-1.987907,146.857605,-2.567825,1
277,9.233666,,0.028038,-0.007449,0.002048,116.253868,2.292870,147.209045,0.351440,1
278,9.267000,,0.029203,0.001165,-0.004695,115.064316,-1.189552,148.190811,0.981766,1
279,9.300335,,0.021982,-0.007221,-0.010098,109.231239,-5.833076,144.424667,-3.766144,1
280,9.333670,,0.007186,-0.014796,-0.013383,106.845253,-2.385986,143.232803,-1.191864,1
281,9.367004,,0.007356,0.000170,-0.014512,104.508324,-2.336929,145.366669,2.133865,1
282,9.400339,,0.014148,0.006792,-0.014001,105.909828,1.401505,146.798050,1.431381,1
283,9.433673,,0.017872,0.003723,-0.012761,104.983307,-0.926521,148.868103,2.070053,1
284,9.467008,,0.020636,0.002764,-0.011754,105.206764,0.223457,148.743774,-0.124329,1
285,9.500342,,0.019635,-0.001001,-0.011520,104.587784,-0.618980,149.413559,0.669785,1
286,9.533677,,0.019492,-0.000143,-0.011956,103.463081,-1.124702,149.748627,0.335068,1
287,9.567011,,0.026970,0.007478,-0.012221,103.558937,0.095856,150.067841,0.319214,1
288,9.600346,,0.022538,-0.004432,-0.011069,101.671906,-1.887032,150.771530,0.703690,1
