frame,timestamp,aspect_ratio__mouth_width__nose_to_chin,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
207,6.900449804432855,0.6849530134764927,Open,Open,Open,Closed,Closed
208,6.933785310734463,0.7571258850097091,Open,Open,Open,Open,Closed
209,6.967120817036071,0.7206662838952157,Open,Open,Open,Open,Closed
210,7.000456323337679,0.7414395724377909,Open,Open,Open,Open,Closed
211,7.033791829639287,0.6795310857715244,Open,Open,Open,Closed,Closed
212,7.067127335940895,0.6644451130493704,Open,Open,Open,Closed,Closed
213,7.100462842242503,0.6497279658773856,Open,Open,Open,Closed,Closed
214,7.1337983485441105,0.6253560728591252,Open,Open,Closed,Closed,Closed
215,7.167133854845719,0.6250898422604662,Open,Open,Closed,Closed,Closed
216,7.200469361147327,0.601197672777749,Open,Open,Closed,Closed,Closed
217,7.233804867448935,0.5745041948891836,Open,Closed,Closed,Closed,Closed
218,7.267140373750543,0.6065794661496484,Open,Open,Closed,Closed,Closed
219,7.300475880052151,0.498782636183177,Closed,Closed,Closed,Closed,Closed
220,7.333811386353759,0.5638936403259334,Open,Closed,Closed,Closed,Closed
221,7.367146892655367,0.4969556783010512,Closed,Closed,Closed,Closed,Closed
222,7.400482398956975,0.5826910026739132,Open,Open,Closed,Closed,Closed
223,7.433817905258583,0.5625225454648813,Open,Closed,Closed,Closed,Closed
224,7.467153411560191,0.5261939423365078,Open,Closed,Closed,Closed,Closed
225,7.500488917861799,0.6017468753415055,Open,Open,Closed,Closed,Closed
226,7.533824424163407,0.5978328849871113,Open,Open,Closed,Closed,Closed
227,7.567159930465015,0.686483966991731,Open,Open,Open,Closed,Closed
228,7.600495436766623,0.6969050170337711,Open,Open,Open,Closed,Closed
229,7.633830943068231,0.7526023427142864,Open,Open,Open,Open,Closed
230,7.667166449369839,0.7643111146032754,Open,Open,Open,Open,Closed
231,7.700501955671447,0.6813819109840328,Open,Open,Open,Closed,Closed
232,7.733837461973055,0.7023421178809215,Open,Open,Open,Closed,Closed
233,7.767172968274663,0.6607467172964794,Open,Open,Open,Closed,Closed
234,7.8005084745762705,0.6652806651660559,Open,Open,Open,Closed,Closed
235,7.833843980877879,0.6541512060165383,Open,Open,Open,Closed,Closed
236,7.867179487179487,0.6644423769230069,Open,Open,Open,Closed,Closed
237,7.900514993481095,0.67339354733902,Open,Open,Open,Closed,Closed
238,7.933850499782703,0.6365356529955417,Open,Open,Closed,Closed,Closed
239,7.967186006084311,0.6167685776892511,Open,Open,Closed,Closed,Closed
240,8.00052151238592,0.5811910591297916,Open,Open,Closed,Closed,Closed
241,8.033857018687527,0.56221353686803,Open,Closed,Closed,Closed,Closed
242,8.067192524989135,0.6264184096662357,Open,Open,Closed,Closed,Closed
243,8.100528031290743,0.632166511736199,Open,Open,Closed,Closed,Closed
244,8.133863537592351,0.5662308385672697,Open,Closed,Closed,Closed,Closed
245,8.167199043893959,0.5870594312729309,Open,Open,Closed,Closed,Closed
246,8.200534550195567,0.63895513693876,Open,Open,Closed,Closed,Closed
247,8.233870056497175,0.6334635399857288,Open,Open,Closed,Closed,Closed
248,8.267205562798782,0.735047761068708,Open,Open,Open,Open,Closed
249,8.30054106910039,0.7220447644398853,Open,Open,Open,Open,Closed
250,8.333876575401998,0.7814273311032044,Open,Open,Open,Open,Open
251,8.367212081703606,0.7387516668623614,Open,Open,Open,Open,Closed
252,8.400547588005216,0.7230735624338662,Open,Open,Open,Open,Closed
253,8.433883094306823,0.7080989540771604,Open,Open,Open,Closed,Closed
254,8.467218600608431,0.7030314125766407,Open,Open,Open,Closed,Closed
255,8.50055410691004,0.670467860700553,Open,Open,Open,Closed,Closed
256,8.533889613211647,0.6843472032968462,Open,Open,Open,Closed,Closed
257,8.567225119513255,0.6408224119780804,Open,Open,Closed,Closed,Closed
258,8.600560625814863,0.6418514453162891,Open,Open,Closed,Closed,Closed
259,8.63389613211647,0.6162471034745509,Open,Open,Closed,Closed,Closed
260,8.667231638418079,0.5889075720598904,Open,Open,Closed,Closed,Closed
261,8.700567144719686,0.5408334664775653,Open,Closed,Closed,Closed,Closed
262,8.733902651021294,0.5311494093061128,Open,Closed,Closed,Closed,Closed
263,8.767238157322902,0.5660768116859031,Open,Closed,Closed,Closed,Closed
264,8.80057366362451,0.5213934516309244,Open,Closed,Closed,Closed,Closed
265,8.833909169926118,0.5305357295701547,Open,Closed,Closed,Closed,Closed
266,8.867244676227727,0.5346821076817945,Open,Closed,Closed,Closed,Closed
267,8.900580182529335,0.5834186020745717,Open,Open,Closed,Closed,Closed
268,8.933915688830943,0.6446411447946607,Open,Open,Open,Closed,Closed
269,8.967251195132551,0.6878438315138311,Open,Open,Open,Closed,Closed
270,9.000586701434159,0.7098163579466709,Open,Open,Open,Closed,Closed
271,9.033922207735769,0.6751711272283772,Open,Open,Open,Closed,Closed
272,9.067257714037376,0.6848414923774052,Open,Open,Open,Closed,Closed
