frame,timestamp,anchor_to_bottom_lip_bottom_center,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
300,10.000651890482398,91.4632861615892,Open,Open,Closed,Closed,Closed
301,10.033987396784006,92.75217222636088,Open,Open,Closed,Closed,Closed
302,10.067322903085614,91.34342997764384,Open,Open,Closed,Closed,Closed
303,10.100658409387222,83.2775246488598,Open,Closed,Closed,Closed,Closed
304,10.13399391568883,82.22388752045748,Open,Closed,Closed,Closed,Closed
305,10.167329421990438,76.56431240898796,Open,Closed,Closed,Closed,Closed
306,10.200664928292047,78.51554721102013,Open,Closed,Closed,Closed,Closed
307,10.234000434593655,75.3779791764824,Closed,Closed,Closed,Closed,Closed
308,10.267335940895263,80.48650455338259,Open,Closed,Closed,Closed,Closed
309,10.300671447196873,87.2768958791579,Open,Open,Closed,Closed,Closed
310,10.33400695349848,91.70189163601042,Open,Open,Closed,Closed,Closed
311,10.367342459800089,98.8024063963956,Open,Open,Open,Closed,Closed
312,10.400677966101696,101.16682419548928,Open,Open,Open,Closed,Closed
313,10.434013472403302,100.39387091636286,Open,Open,Open,Closed,Closed
314,10.46734897870491,101.53260243053144,Open,Open,Open,Closed,Closed
315,10.500684485006518,101.64319588337632,Open,Open,Open,Closed,Closed
316,10.534019991308126,98.74240897283906,Open,Open,Open,Closed,Closed
317,10.567355497609734,98.1133163966404,Open,Open,Open,Closed,Closed
318,10.600691003911342,100.46208476393768,Open,Open,Open,Closed,Closed
319,10.63402651021295,95.52299643560109,Open,Open,Open,Closed,Closed
320,10.66736201651456,96.92239497640354,Open,Open,Open,Closed,Closed
321,10.700697522816167,96.33872908702196,Open,Open,Open,Closed,Closed
322,10.734033029117777,91.56312088227884,Open,Open,Closed,Closed,Closed
323,10.767368535419385,88.19234492492174,Open,Open,Closed,Closed,Closed
324,10.80070404172099,88.93184652953889,Open,Open,Closed,Closed,Closed
325,10.8340395480226,90.69531906161676,Open,Open,Closed,Closed,Closed
326,10.867375054324206,85.24558397238005,Open,Open,Closed,Closed,Closed
327,10.900710560625814,88.11641231146143,Open,Open,Closed,Closed,Closed
328,10.934046066927422,85.65088343344937,Open,Open,Closed,Closed,Closed
329,10.96738157322903,79.41500627299337,Open,Closed,Closed,Closed,Closed
330,11.000717079530638,84.98265144980732,Open,Open,Closed,Closed,Closed
331,11.034052585832246,91.22567879685748,Open,Open,Closed,Closed,Closed
332,11.067388092133854,90.4760584099314,Open,Open,Closed,Closed,Closed
333,11.100723598435462,95.177459872485,Open,Open,Open,Closed,Closed
334,11.134059104737071,99.17927854287504,Open,Open,Open,Closed,Closed
335,11.16739461103868,100.8746380110681,Open,Open,Open,Closed,Closed
336,11.200730117340289,100.34949869275869,Open,Open,Open,Closed,Closed
337,11.234065623641897,98.486427309948,Open,Open,Open,Closed,Closed
338,11.267401129943504,97.48173495038124,Open,Open,Open,Closed,Closed
339,11.30073663624511,93.7987990794997,Open,Open,Closed,Closed,Closed
340,11.334072142546718,92.23158709594506,Open,Open,Closed,Closed,Closed
341,11.367407648848326,93.12786557313656,Open,Open,Closed,Closed,Closed
342,11.400743155149934,90.58487740312135,Open,Open,Closed,Closed,Closed
343,11.434078661451542,85.10929243353364,Open,Open,Closed,Closed,Closed
344,11.46741416775315,86.13239531798065,Open,Open,Closed,Closed,Closed
345,11.500749674054758,87.73724155724958,Open,Open,Closed,Closed,Closed
346,11.534085180356366,87.73118559002853,Open,Open,Closed,Closed,Closed
347,11.567420686657975,83.32073442988786,Open,Closed,Closed,Closed,Closed
348,11.600756192959585,81.0684486165287,Open,Closed,Closed,Closed,Closed
349,11.634091699261193,77.5194784240243,Open,Closed,Closed,Closed,Closed
350,11.6674272055628,76.51330102359618,Open,Closed,Closed,Closed,Closed
351,11.700762711864408,85.73863498220717,Open,Open,Closed,Closed,Closed
352,11.734098218166016,87.97070844036645,Open,Open,Closed,Closed,Closed
353,11.767433724467622,95.91925760126634,Open,Open,Open,Closed,Closed
354,11.80076923076923,100.59259801045732,Open,Open,Open,Closed,Closed
355,11.834104737070838,103.10311106018396,Open,Open,Open,Open,Closed
356,11.867440243372446,101.61061741258617,Open,Open,Open,Closed,Closed
357,11.900775749674054,97.07997538996447,Open,Open,Open,Closed,Closed
358,11.934111255975662,93.4558407186885,Open,Open,Closed,Closed,Closed
359,11.96744676227727,97.23511495652716,Open,Open,Open,Closed,Closed
360,12.000782268578876,95.23748969789044,Open,Open,Open,Closed,Closed
