frame,timestamp,anchor_to_top_lip_top_center,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
307,10.234000434593655,79.56410734143071,Closed,Closed,Closed,Closed,Closed
308,10.267335940895263,82.00273478054001,Open,Closed,Closed,Closed,Closed
309,10.300671447196873,86.96764205733932,Open,Closed,Closed,Closed,Closed
310,10.33400695349848,90.05621050473945,Open,Open,Closed,Closed,Closed
311,10.367342459800089,96.85687609153776,Open,Open,Open,Closed,Closed
312,10.400677966101696,99.0098390446523,Open,Open,Open,Closed,Closed
313,10.434013472403302,98.41130192976988,Open,Open,Open,Closed,Closed
314,10.46734897870491,96.7200592095126,Open,Open,Open,Closed,Closed
315,10.500684485006518,97.68685771218443,Open,Open,Open,Closed,Closed
316,10.534019991308126,95.83325977885848,Open,Open,Open,Closed,Closed
317,10.567355497609734,95.5211012382905,Open,Open,Open,Closed,Closed
318,10.600691003911342,97.54479346758536,Open,Open,Open,Closed,Closed
319,10.63402651021295,95.12358310319804,Open,Open,Open,Closed,Closed
320,10.66736201651456,95.4944313002442,Open,Open,Open,Closed,Closed
321,10.700697522816167,94.53568239486192,Open,Open,Open,Closed,Closed
322,10.734033029117777,93.01077199879096,Open,Open,Closed,Closed,Closed
323,10.767368535419385,89.13263051339834,Open,Open,Closed,Closed,Closed
324,10.80070404172099,90.62738244778625,Open,Open,Closed,Closed,Closed
325,10.8340395480226,93.86923225904984,Open,Open,Closed,Closed,Closed
326,10.867375054324206,87.24069494631115,Open,Closed,Closed,Closed,Closed
327,10.900710560625814,89.97524832660898,Open,Open,Closed,Closed,Closed
328,10.934046066927422,86.95036514094727,Open,Closed,Closed,Closed,Closed
329,10.96738157322903,82.01590937150272,Open,Closed,Closed,Closed,Closed
330,11.000717079530638,82.28564391299514,Open,Closed,Closed,Closed,Closed
331,11.034052585832246,88.833579192157,Open,Open,Closed,Closed,Closed
332,11.067388092133854,89.9311248729813,Open,Open,Closed,Closed,Closed
333,11.100723598435462,95.52783987233404,Open,Open,Open,Closed,Closed
334,11.134059104737071,96.17035492742612,Open,Open,Open,Closed,Closed
335,11.16739461103868,98.11298970608186,Open,Open,Open,Closed,Closed
336,11.200730117340289,98.03060609528129,Open,Open,Open,Closed,Closed
337,11.234065623641897,95.7976291854618,Open,Open,Open,Closed,Closed
338,11.267401129943504,96.4939519101214,Open,Open,Open,Closed,Closed
339,11.30073663624511,92.12358310319804,Open,Open,Closed,Closed,Closed
340,11.334072142546718,90.47406516708956,Open,Open,Closed,Closed,Closed
341,11.367407648848326,92.49558510577504,Open,Open,Closed,Closed,Closed
342,11.400743155149934,91.32974351068933,Open,Open,Closed,Closed,Closed
343,11.434078661451542,87.04524913547182,Open,Closed,Closed,Closed,Closed
344,11.46741416775315,87.84259653899178,Open,Open,Closed,Closed,Closed
345,11.500749674054758,89.90467396469279,Open,Open,Closed,Closed,Closed
346,11.534085180356366,89.48971146486852,Open,Open,Closed,Closed,Closed
347,11.567420686657975,86.82617232058574,Open,Closed,Closed,Closed,Closed
348,11.600756192959585,84.32180099809361,Open,Closed,Closed,Closed,Closed
349,11.634091699261193,80.96491455736604,Open,Closed,Closed,Closed,Closed
350,11.6674272055628,78.11467135861398,Closed,Closed,Closed,Closed,Closed
351,11.700762711864408,84.8624889733169,Open,Closed,Closed,Closed,Closed
352,11.734098218166016,88.36517501110963,Open,Open,Closed,Closed,Closed
353,11.767433724467622,94.62459940194172,Open,Open,Open,Closed,Closed
354,11.80076923076923,99.12650154702033,Open,Open,Open,Closed,Closed
355,11.834104737070838,98.41836041453156,Open,Open,Open,Closed,Closed
356,11.867440243372446,97.68546626587694,Open,Open,Open,Closed,Closed
357,11.900775749674054,90.87383828597808,Open,Open,Closed,Closed,Closed
358,11.934111255975662,89.68661749415644,Open,Open,Closed,Closed,Closed
359,11.96744676227727,94.04696298917068,Open,Open,Open,Closed,Closed
360,12.000782268578876,92.75648711203854,Open,Open,Closed,Closed,Closed
361,12.034117774880489,92.43272354387486,Open,Open,Closed,Closed,Closed
362,12.067453281182097,88.3675947507434,Open,Open,Closed,Closed,Closed
363,12.100788787483705,91.07625456428497,Open,Open,Closed,Closed,Closed
364,12.13412429378531,90.18535844105712,Open,Open,Closed,Closed,Closed
365,12.16745980008692,88.98658512577136,Open,Open,Closed,Closed,Closed
366,12.200795306388526,85.62143218317553,Open,Closed,Closed,Closed,Closed
367,12.234130812690134,83.70579714042779,Open,Closed,Closed,Closed,Closed
368,12.267466318991742,88.51741403242518,Open,Open,Closed,Closed,Closed
369,12.30080182529335,81.13394683653593,Open,Closed,Closed,Closed,Closed
370,12.334137331594958,85.95130818225013,Open,Closed,Closed,Closed,Closed
371,12.367472837896566,90.51412695618092,Open,Open,Closed,Closed,Closed
372,12.400808344198174,97.41119928558264,Open,Open,Open,Closed,Closed
373,12.43414385049978,98.21327343475906,Open,Open,Open,Closed,Closed
374,12.467479356801393,97.61662358450828,Open,Open,Open,Closed,Closed
