frame,timestamp,anchor_to_chin,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
275,9.167264232942198,188.14013126859584,Open,Open,Open,Closed,Closed
276,9.200599739243806,185.8830286646114,Open,Open,Open,Closed,Closed
277,9.233935245545414,192.6085225148833,Open,Open,Open,Closed,Closed
278,9.267270751847022,190.01966465080895,Open,Open,Open,Closed,Closed
279,9.300606258148632,192.3867162142584,Open,Open,Open,Closed,Closed
280,9.33394176445024,187.9227545936076,Open,Open,Open,Closed,Closed
281,9.367277270751847,188.6594163165228,Open,Open,Open,Closed,Closed
282,9.400612777053457,187.7275435217647,Open,Open,Open,Closed,Closed
283,9.433948283355065,188.17188945817728,Open,Open,Open,Closed,Closed
284,9.46728378965667,175.7972532007347,Open,Open,Closed,Closed,Closed
285,9.50061929595828,185.48238178088445,Open,Open,Closed,Closed,Closed
286,9.533954802259888,179.4909298996867,Open,Open,Closed,Closed,Closed
287,9.567290308561494,185.75026103050655,Open,Open,Open,Closed,Closed
288,9.600625814863102,188.25811719479995,Open,Open,Open,Closed,Closed
289,9.63396132116471,193.09339514708876,Open,Open,Open,Closed,Closed
290,9.667296827466318,195.10873907611503,Open,Open,Open,Closed,Closed
291,9.700632333767926,195.30559873708563,Open,Open,Open,Closed,Closed
292,9.733967840069534,193.1313099944364,Open,Open,Open,Closed,Closed
293,9.767303346371143,194.52709405209353,Open,Open,Open,Closed,Closed
294,9.800638852672751,191.30073596511588,Open,Open,Open,Closed,Closed
295,9.83397435897436,188.4035153768133,Open,Open,Open,Closed,Closed
296,9.867309865275969,194.74340020871043,Open,Open,Open,Closed,Closed
297,9.900645371577577,187.53413942931084,Open,Open,Open,Closed,Closed
298,9.933980877879184,195.5422131207784,Open,Open,Open,Closed,Closed
299,9.96731638418079,183.54970764026305,Open,Open,Closed,Closed,Closed
300,10.000651890482398,184.08098144823072,Open,Open,Closed,Closed,Closed
301,10.033987396784006,185.9298143471125,Open,Open,Open,Closed,Closed
302,10.067322903085614,194.2485519092396,Open,Open,Open,Closed,Closed
303,10.100658409387222,188.57549143961336,Open,Open,Open,Closed,Closed
304,10.13399391568883,183.19337500358972,Open,Open,Closed,Closed,Closed
305,10.167329421990438,172.8163982514677,Open,Closed,Closed,Closed,Closed
306,10.200664928292047,173.69605415775004,Open,Closed,Closed,Closed,Closed
307,10.234000434593655,162.4506074065864,Open,Closed,Closed,Closed,Closed
308,10.267335940895263,176.9512870426276,Open,Open,Closed,Closed,Closed
309,10.300671447196873,193.39736859408757,Open,Open,Open,Closed,Closed
310,10.33400695349848,193.90530939182975,Open,Open,Open,Closed,Closed
311,10.367342459800089,195.12314588662548,Open,Open,Open,Closed,Closed
312,10.400677966101696,192.71314730071728,Open,Open,Open,Closed,Closed
313,10.434013472403302,193.7339776630746,Open,Open,Open,Closed,Closed
314,10.46734897870491,192.7453694189244,Open,Open,Open,Closed,Closed
315,10.500684485006518,194.98654229685013,Open,Open,Open,Closed,Closed
316,10.534019991308126,190.4166040703323,Open,Open,Open,Closed,Closed
317,10.567355497609734,191.0182214942109,Open,Open,Open,Closed,Closed
318,10.600691003911342,191.2368258566783,Open,Open,Open,Closed,Closed
319,10.63402651021295,186.8621362261474,Open,Open,Open,Closed,Closed
320,10.66736201651456,190.7943594430521,Open,Open,Open,Closed,Closed
321,10.700697522816167,190.20748814618256,Open,Open,Open,Closed,Closed
322,10.734033029117777,185.71908978301013,Open,Open,Open,Closed,Closed
323,10.767368535419385,189.4223425427396,Open,Open,Open,Closed,Closed
324,10.80070404172099,190.53613366872335,Open,Open,Open,Closed,Closed
325,10.8340395480226,184.7485175875458,Open,Open,Closed,Closed,Closed
326,10.867375054324206,184.9669958920012,Open,Open,Closed,Closed,Closed
327,10.900710560625814,187.67194699043955,Open,Open,Open,Closed,Closed
328,10.934046066927422,182.22988266932524,Open,Open,Closed,Closed,Closed
329,10.96738157322903,166.18527342880327,Open,Closed,Closed,Closed,Closed
330,11.000717079530638,181.4053180450761,Open,Open,Closed,Closed,Closed
331,11.034052585832246,198.2476935276812,Open,Open,Open,Open,Closed
332,11.067388092133854,194.71419099917625,Open,Open,Open,Closed,Closed
333,11.100723598435462,193.7702523493348,Open,Open,Open,Closed,Closed
334,11.134059104737071,192.50319842295448,Open,Open,Open,Closed,Closed
335,11.16739461103868,194.04370334263368,Open,Open,Open,Closed,Closed
336,11.200730117340289,192.56532260643235,Open,Open,Open,Closed,Closed
337,11.234065623641897,188.86984927632392,Open,Open,Open,Closed,Closed
338,11.267401129943504,185.67909529282645,Open,Open,Open,Closed,Closed
339,11.30073663624511,187.09983049171248,Open,Open,Open,Closed,Closed
340,11.334072142546718,184.0515682531453,Open,Open,Closed,Closed,Closed
341,11.367407648848326,192.3920532282483,Open,Open,Open,Closed,Closed
342,11.400743155149934,184.38240572095515,Open,Open,Closed,Closed,Closed
343,11.434078661451542,183.1502262629522,Open,Open,Closed,Closed,Closed
344,11.46741416775315,183.23344735718325,Open,Open,Closed,Closed,Closed
345,11.500749674054758,187.95811610399804,Open,Open,Open,Closed,Closed
346,11.534085180356366,186.08767770378756,Open,Open,Open,Closed,Closed
347,11.567420686657975,182.3853774029592,Open,Open,Closed,Closed,Closed
348,11.600756192959585,174.40563530121932,Open,Open,Closed,Closed,Closed
349,11.634091699261193,182.744190351344,Open,Open,Closed,Closed,Closed
350,11.6674272055628,181.57868863965385,Open,Open,Closed,Closed,Closed
351,11.700762711864408,188.2111536688193,Open,Open,Open,Closed,Closed
352,11.734098218166016,192.1158786991253,Open,Open,Open,Closed,Closed
353,11.767433724467622,193.455903334616,Open,Open,Open,Closed,Closed
354,11.80076923076923,192.35207712972675,Open,Open,Open,Closed,Closed
355,11.834104737070838,193.98770667480497,Open,Open,Open,Closed,Closed
356,11.867440243372446,190.82471303941767,Open,Open,Open,Closed,Closed
357,11.900775749674054,193.4523026000753,Open,Open,Open,Closed,Closed
358,11.934111255975662,190.6933935604008,Open,Open,Open,Closed,Closed
359,11.96744676227727,190.5338419896426,Open,Open,Open,Closed,Closed
360,12.000782268578876,193.0344641871229,Open,Open,Open,Closed,Closed
361,12.034117774880489,190.6038248324665,Open,Open,Open,Closed,Closed
362,12.067453281182097,184.35881501535616,Open,Open,Closed,Closed,Closed
363,12.100788787483705,187.77153820803431,Open,Open,Open,Closed,Closed
364,12.13412429378531,183.688125432912,Open,Open,Closed,Closed,Closed
365,12.16745980008692,192.0267373294243,Open,Open,Open,Closed,Closed
366,12.200795306388526,179.66093489532756,Open,Open,Closed,Closed,Closed
367,12.234130812690134,184.26445896415544,Open,Open,Closed,Closed,Closed
368,12.267466318991742,189.93065964608485,Open,Open,Open,Closed,Closed
369,12.30080182529335,184.86720802862655,Open,Open,Closed,Closed,Closed
370,12.334137331594958,180.46023637256351,Open,Open,Closed,Closed,Closed
371,12.367472837896566,197.7927893956229,Open,Open,Open,Open,Closed
372,12.400808344198174,198.3181761010764,Open,Open,Open,Open,Closed
373,12.43414385049978,194.71987733471664,Open,Open,Open,Closed,Closed
374,12.467479356801393,196.66462118200445,Open,Open,Open,Closed,Closed
375,12.500814863103,193.857244556202,Open,Open,Open,Closed,Closed
376,12.534150369404609,187.8712192562486,Open,Open,Open,Closed,Closed
377,12.567485875706216,188.8511245337086,Open,Open,Open,Closed,Closed
378,12.600821382007824,189.06793508835747,Open,Open,Open,Closed,Closed
379,12.63415688830943,188.50944066068655,Open,Open,Open,Closed,Closed
380,12.667492394611038,185.12172254952392,Open,Open,Closed,Closed,Closed
381,12.700827900912646,186.1991856853075,Open,Open,Open,Closed,Closed
382,12.734163407214254,188.25774633296183,Open,Open,Open,Closed,Closed
383,12.767498913515862,190.56875399780364,Open,Open,Open,Closed,Closed
384,12.80083441981747,192.93231818990108,Open,Open,Open,Closed,Closed
