frame,timestamp,aspect_ratio_nose_to_lips_lips_to_chin,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
231,7.700501955671447,0.4626571875610625,Open,Open,Open,Closed,Closed
232,7.733837461973055,0.4485116811239653,Open,Open,Open,Closed,Closed
233,7.767172968274663,0.4055175020198813,Open,Open,Closed,Closed,Closed
234,7.8005084745762705,0.4612909003266179,Open,Open,Open,Closed,Closed
235,7.833843980877879,0.4092962877467662,Open,Open,Closed,Closed,Closed
236,7.867179487179487,0.4114078047363737,Open,Open,Closed,Closed,Closed
237,7.900514993481095,0.3443032455434483,Open,Closed,Closed,Closed,Closed
238,7.933850499782703,0.3508641872786823,Open,Closed,Closed,Closed,Closed
239,7.967186006084311,0.3574499525472832,Open,Closed,Closed,Closed,Closed
240,8.00052151238592,0.4196367982783774,Open,Open,Closed,Closed,Closed
241,8.033857018687527,0.5139041525801329,Open,Open,Open,Closed,Closed
242,8.067192524989135,0.52275793831272,Open,Open,Open,Closed,Closed
243,8.100528031290743,0.4933531348131488,Open,Open,Open,Closed,Closed
244,8.133863537592351,0.5741839625471363,Open,Open,Open,Open,Closed
245,8.167199043893959,0.5873182932668953,Open,Open,Open,Open,Closed
246,8.200534550195567,0.4792964282624838,Open,Open,Open,Closed,Closed
247,8.233870056497175,0.4833557658341715,Open,Open,Open,Closed,Closed
248,8.267205562798782,0.3701946003803541,Open,Open,Closed,Closed,Closed
249,8.30054106910039,0.4870122278751212,Open,Open,Open,Closed,Closed
250,8.333876575401998,0.359406057375741,Open,Closed,Closed,Closed,Closed
251,8.367212081703606,0.4557490481611759,Open,Open,Open,Closed,Closed
252,8.400547588005216,0.464351300627938,Open,Open,Open,Closed,Closed
253,8.433883094306823,0.4742390997539202,Open,Open,Open,Closed,Closed
254,8.467218600608431,0.4530578055651074,Open,Open,Open,Closed,Closed
255,8.50055410691004,0.4594913849884252,Open,Open,Open,Closed,Closed
256,8.533889613211647,0.4461284532383603,Open,Open,Open,Closed,Closed
257,8.567225119513255,0.4052366446873048,Open,Open,Closed,Closed,Closed
258,8.600560625814863,0.4419667739430729,Open,Open,Closed,Closed,Closed
259,8.63389613211647,0.4231594693273495,Open,Open,Closed,Closed,Closed
260,8.667231638418079,0.447734654950366,Open,Open,Open,Closed,Closed
261,8.700567144719686,0.4969270999548971,Open,Open,Open,Closed,Closed
262,8.733902651021294,0.60025705915355,Open,Open,Open,Open,Closed
263,8.767238157322902,0.5864833182388527,Open,Open,Open,Open,Closed
264,8.80057366362451,0.62257807186486,Open,Open,Open,Open,Open
265,8.833909169926118,0.6028390473940667,Open,Open,Open,Open,Closed
266,8.867244676227727,0.5847944713246619,Open,Open,Open,Open,Closed
267,8.900580182529335,0.5338398759117997,Open,Open,Open,Open,Closed
268,8.933915688830943,0.5157847065586123,Open,Open,Open,Closed,Closed
269,8.967251195132551,0.4996438927156736,Open,Open,Open,Closed,Closed
270,9.000586701434159,0.488877349341587,Open,Open,Open,Closed,Closed
271,9.033922207735769,0.4624122862959098,Open,Open,Open,Closed,Closed
272,9.067257714037376,0.4780980555628473,Open,Open,Open,Closed,Closed
273,9.100593220338984,0.4660207094457964,Open,Open,Open,Closed,Closed
274,9.13392872664059,0.4253045707496599,Open,Open,Closed,Closed,Closed
275,9.167264232942198,0.4542478119718779,Open,Open,Open,Closed,Closed
276,9.200599739243806,0.4450447428489909,Open,Open,Open,Closed,Closed
277,9.233935245545414,0.4247319323302467,Open,Open,Closed,Closed,Closed
278,9.267270751847022,0.3896416469559996,Open,Open,Closed,Closed,Closed
279,9.300606258148632,0.3220391369084769,Open,Closed,Closed,Closed,Closed
280,9.33394176445024,0.3269190835343854,Open,Closed,Closed,Closed,Closed
281,9.367277270751847,0.3590339064555404,Open,Closed,Closed,Closed,Closed
282,9.400612777053457,0.4122564484348943,Open,Open,Closed,Closed,Closed
283,9.433948283355065,0.4641951358889994,Open,Open,Open,Closed,Closed
284,9.46728378965667,0.5117722423358635,Open,Open,Open,Closed,Closed
285,9.50061929595828,0.5518913802151604,Open,Open,Open,Open,Closed
286,9.533954802259888,0.6190402356668238,Open,Open,Open,Open,Open
287,9.567290308561494,0.575792442027241,Open,Open,Open,Open,Closed
288,9.600625814863102,0.5548545191147378,Open,Open,Open,Open,Closed
289,9.63396132116471,0.5293800645582256,Open,Open,Open,Open,Closed
290,9.667296827466318,0.5020583369124998,Open,Open,Open,Closed,Closed
291,9.700632333767926,0.4614812987100138,Open,Open,Open,Closed,Closed
292,9.733967840069534,0.484147290027911,Open,Open,Open,Closed,Closed
293,9.767303346371143,0.4771240506884486,Open,Open,Open,Closed,Closed
294,9.800638852672751,0.496490363730946,Open,Open,Open,Closed,Closed
295,9.83397435897436,0.4883733192166334,Open,Open,Open,Closed,Closed
296,9.867309865275969,0.4348648215372105,Open,Open,Closed,Closed,Closed
297,9.900645371577577,0.4614341854579148,Open,Open,Open,Closed,Closed
298,9.933980877879184,0.4188694556612111,Open,Open,Closed,Closed,Closed
299,9.96731638418079,0.4569043169010104,Open,Open,Open,Closed,Closed
300,10.000651890482398,0.4271320367796154,Open,Open,Closed,Closed,Closed
301,10.033987396784006,0.4237135986070358,Open,Open,Closed,Closed,Closed
302,10.067322903085614,0.4278245788889744,Open,Open,Closed,Closed,Closed
303,10.100658409387222,0.46727500004066,Open,Open,Open,Closed,Closed
304,10.13399391568883,0.5347756139033446,Open,Open,Open,Open,Closed
305,10.167329421990438,0.5765646124934959,Open,Open,Open,Open,Closed
306,10.200664928292047,0.5916562831351503,Open,Open,Open,Open,Closed
307,10.234000434593655,0.6833316535624048,Open,Open,Open,Open,Open
308,10.267335940895263,0.6245020608941172,Open,Open,Open,Open,Open
309,10.300671447196873,0.5491975661587697,Open,Open,Open,Open,Closed
310,10.33400695349848,0.5242790957595864,Open,Open,Open,Closed,Closed
311,10.367342459800089,0.5131845370806806,Open,Open,Open,Closed,Closed
312,10.400677966101696,0.4813107256396577,Open,Open,Open,Closed,Closed
313,10.434013472403302,0.454944434055906,Open,Open,Open,Closed,Closed
314,10.46734897870491,0.5,Open,Open,Open,Closed,Closed
315,10.500684485006518,0.4700696940256618,Open,Open,Open,Closed,Closed
316,10.534019991308126,0.4783218307572008,Open,Open,Open,Closed,Closed
317,10.567355497609734,0.4748027345766745,Open,Open,Open,Closed,Closed
318,10.600691003911342,0.4652625372267391,Open,Open,Open,Closed,Closed
319,10.63402651021295,0.4580021083306285,Open,Open,Open,Closed,Closed
320,10.66736201651456,0.4267562727671365,Open,Open,Closed,Closed,Closed
321,10.700697522816167,0.4330442844532104,Open,Open,Closed,Closed,Closed
322,10.734033029117777,0.4176403981400463,Open,Open,Closed,Closed,Closed
323,10.767368535419385,0.3613920168727111,Open,Open,Closed,Closed,Closed
324,10.80070404172099,0.3939712298724109,Open,Open,Closed,Closed,Closed
325,10.8340395480226,0.4716670247209376,Open,Open,Open,Closed,Closed
326,10.867375054324206,0.5089258539923851,Open,Open,Open,Closed,Closed
327,10.900710560625814,0.53222686487177,Open,Open,Open,Open,Closed
328,10.934046066927422,0.5669083184706735,Open,Open,Open,Open,Closed
329,10.96738157322903,0.6431447535650198,Open,Open,Open,Open,Open
330,11.000717079530638,0.5814983424544381,Open,Open,Open,Open,Closed
331,11.034052585832246,0.4695603584878967,Open,Open,Open,Closed,Closed
332,11.067388092133854,0.50701976933913,Open,Open,Open,Closed,Closed
333,11.100723598435462,0.4824106055767868,Open,Open,Open,Closed,Closed
334,11.134059104737071,0.4821466311831067,Open,Open,Open,Closed,Closed
335,11.16739461103868,0.487150322017353,Open,Open,Open,Closed,Closed
336,11.200730117340289,0.4641916963967411,Open,Open,Open,Closed,Closed
337,11.234065623641897,0.4815104145129966,Open,Open,Open,Closed,Closed
338,11.267401129943504,0.4833617096655446,Open,Open,Open,Closed,Closed
339,11.30073663624511,0.4508822437043415,Open,Open,Open,Closed,Closed
340,11.334072142546718,0.4886832232839264,Open,Open,Open,Closed,Closed
341,11.367407648848326,0.4332809042727765,Open,Open,Closed,Closed,Closed
342,11.400743155149934,0.4407246613780699,Open,Open,Closed,Closed,Closed
343,11.434078661451542,0.4155328419113999,Open,Open,Closed,Closed,Closed
344,11.46741416775315,0.3616392764754721,Open,Open,Closed,Closed,Closed
345,11.500749674054758,0.4018709128168181,Open,Open,Closed,Closed,Closed
346,11.534085180356366,0.4620409747252401,Open,Open,Open,Closed,Closed
347,11.567420686657975,0.5653669112485176,Open,Open,Open,Open,Closed
348,11.600756192959585,0.6031022698472832,Open,Open,Open,Open,Closed
349,11.634091699261193,0.5794846582402354,Open,Open,Open,Open,Closed
350,11.6674272055628,0.5837924403421916,Open,Open,Open,Open,Closed
351,11.700762711864408,0.5627720042496102,Open,Open,Open,Open,Closed
352,11.734098218166016,0.5306388001235476,Open,Open,Open,Open,Closed
353,11.767433724467622,0.5246693480926357,Open,Open,Open,Closed,Closed
354,11.80076923076923,0.4900210005510893,Open,Open,Open,Closed,Closed
355,11.834104737070838,0.5042802681813265,Open,Open,Open,Closed,Closed
356,11.867440243372446,0.3925612866130968,Open,Open,Closed,Closed,Closed
357,11.900775749674054,0.3355994571596676,Open,Closed,Closed,Closed,Closed
358,11.934111255975662,0.3492491018988916,Open,Closed,Closed,Closed,Closed
359,11.96744676227727,0.3837533881255592,Open,Open,Closed,Closed,Closed
360,12.000782268578876,0.4127500941606013,Open,Open,Closed,Closed,Closed
361,12.034117774880489,0.3683135697403581,Open,Open,Closed,Closed,Closed
362,12.067453281182097,0.3835069452378876,Open,Open,Closed,Closed,Closed
363,12.100788787483705,0.4612398442777903,Open,Open,Open,Closed,Closed
364,12.13412429378531,0.4872284348424295,Open,Open,Open,Closed,Closed
365,12.16745980008692,0.502979795316516,Open,Open,Open,Closed,Closed
366,12.200795306388526,0.5957335431752787,Open,Open,Open,Open,Closed
367,12.234130812690134,0.5279938702231578,Open,Open,Open,Closed,Closed
368,12.267466318991742,0.5309243901765475,Open,Open,Open,Open,Closed
369,12.30080182529335,0.5275986572992626,Open,Open,Open,Closed,Closed
370,12.334137331594958,0.574430342336901,Open,Open,Open,Open,Closed
371,12.367472837896566,0.5188762198256659,Open,Open,Open,Closed,Closed
372,12.400808344198174,0.4530222868355869,Open,Open,Open,Closed,Closed
373,12.43414385049978,0.4974636204757283,Open,Open,Open,Closed,Closed
