frame,timestamp,anchor_to_top_lip_bottom_center,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
312,10.400677966101696,95.74341360508063,Open,Open,Open,Open,Closed
313,10.434013472403302,94.76910347550584,Open,Open,Open,Open,Closed
314,10.46734897870491,94.42174352461244,Open,Open,Open,Open,Closed
315,10.500684485006518,95.22237694689524,Open,Open,Open,Open,Closed
316,10.534019991308126,92.97481773956568,Open,Open,Open,Open,Closed
317,10.567355497609734,92.75028354068527,Open,Open,Open,Open,Closed
318,10.600691003911342,94.33741612420413,Open,Open,Open,Open,Closed
319,10.63402651021295,91.36509764628502,Open,Open,Open,Closed,Closed
320,10.66736201651456,90.436218484441,Open,Open,Open,Closed,Closed
321,10.700697522816167,91.17226576791909,Open,Open,Open,Closed,Closed
322,10.734033029117777,88.69555945875362,Open,Open,Open,Closed,Closed
323,10.767368535419385,83.8695289642057,Open,Open,Closed,Closed,Closed
324,10.80070404172099,84.55874151372882,Open,Open,Closed,Closed,Closed
325,10.8340395480226,86.61109048527516,Open,Open,Open,Closed,Closed
326,10.867375054324206,80.60227853013023,Open,Open,Closed,Closed,Closed
327,10.900710560625814,84.34726621001937,Open,Open,Closed,Closed,Closed
328,10.934046066927422,82.44773907368244,Open,Open,Closed,Closed,Closed
329,10.96738157322903,77.65565085798752,Open,Closed,Closed,Closed,Closed
330,11.000717079530638,77.5940182652204,Open,Closed,Closed,Closed,Closed
331,11.034052585832246,85.74650824366076,Open,Open,Closed,Closed,Closed
332,11.067388092133854,86.78562660090995,Open,Open,Open,Closed,Closed
333,11.100723598435462,92.20328353136034,Open,Open,Open,Open,Closed
334,11.134059104737071,93.58864815031028,Open,Open,Open,Open,Closed
335,11.16739461103868,95.8159533510132,Open,Open,Open,Open,Closed
336,11.200730117340289,94.74030637875792,Open,Open,Open,Open,Closed
337,11.234065623641897,93.14436786269296,Open,Open,Open,Open,Closed
338,11.267401129943504,92.38435990351974,Open,Open,Open,Open,Closed
339,11.30073663624511,87.90379055535732,Open,Open,Open,Closed,Closed
340,11.334072142546718,86.67213494942226,Open,Open,Open,Closed,Closed
341,11.367407648848326,87.73803866536753,Open,Open,Open,Closed,Closed
342,11.400743155149934,86.75040747506316,Open,Open,Open,Closed,Closed
343,11.434078661451542,81.63418989416758,Open,Open,Closed,Closed,Closed
344,11.46741416775315,81.8467126083881,Open,Open,Closed,Closed,Closed
345,11.500749674054758,83.77051240056514,Open,Open,Closed,Closed,Closed
346,11.534085180356366,82.52052131620039,Open,Open,Closed,Closed,Closed
347,11.567420686657975,80.56391310703279,Open,Open,Closed,Closed,Closed
348,11.600756192959585,77.2368729324068,Open,Closed,Closed,Closed,Closed
349,11.634091699261193,74.89329550626582,Open,Closed,Closed,Closed,Closed
350,11.6674272055628,73.13792259999676,Closed,Closed,Closed,Closed,Closed
351,11.700762711864408,79.59231457844754,Open,Closed,Closed,Closed,Closed
352,11.734098218166016,84.04952175209093,Open,Open,Closed,Closed,Closed
353,11.767433724467622,90.43320030308024,Open,Open,Open,Closed,Closed
354,11.80076923076923,95.56204582739278,Open,Open,Open,Open,Closed
355,11.834104737070838,95.81350242951336,Open,Open,Open,Open,Closed
356,11.867440243372446,94.82887533431185,Open,Open,Open,Open,Closed
357,11.900775749674054,87.69094692294846,Open,Open,Open,Closed,Closed
358,11.934111255975662,86.82103827209544,Open,Open,Open,Closed,Closed
359,11.96744676227727,91.11398920067532,Open,Open,Open,Closed,Closed
360,12.000782268578876,89.84511350695125,Open,Open,Open,Closed,Closed
361,12.034117774880489,86.91979712501637,Open,Open,Open,Closed,Closed
362,12.067453281182097,82.01830203188337,Open,Open,Closed,Closed,Closed
363,12.100788787483705,84.752218876646,Open,Open,Closed,Closed,Closed
364,12.13412429378531,82.15865725552388,Open,Open,Closed,Closed,Closed
365,12.16745980008692,82.5545294869057,Open,Open,Closed,Closed,Closed
366,12.200795306388526,80.71341760080188,Open,Open,Closed,Closed,Closed
367,12.234130812690134,81.5450072587875,Open,Open,Closed,Closed,Closed
368,12.267466318991742,84.96325794780834,Open,Open,Closed,Closed,Closed
369,12.30080182529335,76.66055549439791,Open,Closed,Closed,Closed,Closed
370,12.334137331594958,81.4339672176619,Open,Open,Closed,Closed,Closed
371,12.367472837896566,87.5519025328511,Open,Open,Open,Closed,Closed
372,12.400808344198174,93.75593251978688,Open,Open,Open,Open,Closed
