frame,timestamp,anchor_to_top_lip_top,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
190,6.333746197305519,69.96093463834026,Open,Closed,Closed,Closed,Closed
191,6.367081703607127,67.13445481718716,Open,Closed,Closed,Closed,Closed
192,6.400417209908735,74.04407865325337,Open,Open,Closed,Closed,Closed
193,6.433752716210343,73.09792036948988,Open,Closed,Closed,Closed,Closed
194,6.4670882225119515,71.75582995743018,Open,Closed,Closed,Closed,Closed
195,6.500423728813559,71.1708241328376,Open,Closed,Closed,Closed,Closed
196,6.533759235115167,75.36821968990387,Open,Open,Closed,Closed,Closed
197,6.567094741416775,70.99708038881218,Open,Closed,Closed,Closed,Closed
198,6.600430247718383,69.40642533749653,Open,Closed,Closed,Closed,Closed
199,6.633765754019991,68.87920550229383,Open,Closed,Closed,Closed,Closed
200,6.667101260321599,70.67914817739435,Open,Closed,Closed,Closed,Closed
201,6.700436766623207,71.63700305227178,Open,Closed,Closed,Closed,Closed
202,6.733772272924815,71.5155144152034,Open,Closed,Closed,Closed,Closed
203,6.767107779226423,73.09530382408832,Open,Closed,Closed,Closed,Closed
204,6.800443285528031,66.29325082092473,Open,Closed,Closed,Closed,Closed
205,6.833778791829639,64.88525911198224,Closed,Closed,Closed,Closed,Closed
206,6.867114298131247,68.16177285304894,Open,Closed,Closed,Closed,Closed
207,6.900449804432855,69.43517209703819,Open,Closed,Closed,Closed,Closed
208,6.933785310734463,68.63004630724322,Open,Closed,Closed,Closed,Closed
209,6.967120817036071,73.87711690633802,Open,Open,Closed,Closed,Closed
210,7.000456323337679,70.08406219755514,Open,Closed,Closed,Closed,Closed
211,7.033791829639287,73.39772682629862,Open,Open,Closed,Closed,Closed
212,7.067127335940895,70.8266072157978,Open,Closed,Closed,Closed,Closed
213,7.100462842242503,70.09448671648379,Open,Closed,Closed,Closed,Closed
214,7.1337983485441105,63.432266979719245,Closed,Closed,Closed,Closed,Closed
215,7.167133854845719,64.04249228225797,Closed,Closed,Closed,Closed,Closed
216,7.200469361147327,72.68770612382136,Open,Closed,Closed,Closed,Closed
217,7.233804867448935,73.03904544272635,Open,Closed,Closed,Closed,Closed
218,7.267140373750543,67.44971687905311,Open,Closed,Closed,Closed,Closed
219,7.300475880052151,70.47190354084415,Open,Closed,Closed,Closed,Closed
220,7.333811386353759,71.96899693610867,Open,Closed,Closed,Closed,Closed
221,7.367146892655367,71.424270525998,Open,Closed,Closed,Closed,Closed
222,7.400482398956975,67.09284605017066,Open,Closed,Closed,Closed,Closed
223,7.433817905258583,67.99873393030737,Open,Closed,Closed,Closed,Closed
224,7.467153411560191,68.91707158836927,Open,Closed,Closed,Closed,Closed
225,7.500488917861799,66.6533534377487,Open,Closed,Closed,Closed,Closed
226,7.533824424163407,71.7127692526862,Open,Closed,Closed,Closed,Closed
227,7.567159930465015,77.6699145192635,Open,Open,Closed,Closed,Closed
228,7.600495436766623,72.44544730074401,Open,Closed,Closed,Closed,Closed
229,7.633830943068231,75.53847348223943,Open,Open,Closed,Closed,Closed
230,7.667166449369839,73.24087279500456,Open,Closed,Closed,Closed,Closed
