frame,timestamp,aspect_ratio_between_lips_to_mouth_width,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
209,6.967120817036071,0.1208826681462816,Open,Closed,Closed,Closed,Closed
210,7.000456323337679,0.101540903875837,Closed,Closed,Closed,Closed,Closed
211,7.033791829639287,0.1198058657845746,Open,Closed,Closed,Closed,Closed
212,7.067127335940895,0.1114509012349444,Open,Closed,Closed,Closed,Closed
213,7.100462842242503,0.1254765994447225,Open,Closed,Closed,Closed,Closed
214,7.1337983485441105,0.1179460606412908,Open,Closed,Closed,Closed,Closed
215,7.167133854845719,0.0789952505533364,Closed,Closed,Closed,Closed,Closed
216,7.200469361147327,0.1526894668793193,Open,Closed,Closed,Closed,Closed
217,7.233804867448935,0.1660385898623479,Open,Closed,Closed,Closed,Closed
218,7.267140373750543,0.1379852587314246,Open,Closed,Closed,Closed,Closed
219,7.300475880052151,0.2890970423138818,Open,Open,Closed,Closed,Closed
220,7.333811386353759,0.2338766939449695,Open,Open,Closed,Closed,Closed
221,7.367146892655367,0.2450400605473097,Open,Open,Closed,Closed,Closed
222,7.400482398956975,0.1942973518343048,Open,Closed,Closed,Closed,Closed
223,7.433817905258583,0.1734824309437524,Open,Closed,Closed,Closed,Closed
224,7.467153411560191,0.1738362544512653,Open,Closed,Closed,Closed,Closed
225,7.500488917861799,0.1450966827997172,Open,Closed,Closed,Closed,Closed
226,7.533824424163407,0.1708278552632122,Open,Closed,Closed,Closed,Closed
227,7.567159930465015,0.1523368062310923,Open,Closed,Closed,Closed,Closed
228,7.600495436766623,0.0950480704377041,Closed,Closed,Closed,Closed,Closed
229,7.633830943068231,0.1193936111154301,Open,Closed,Closed,Closed,Closed
230,7.667166449369839,0.098495603105047,Closed,Closed,Closed,Closed,Closed
231,7.700501955671447,0.0917573782846584,Closed,Closed,Closed,Closed,Closed
232,7.733837461973055,0.0767829629671539,Closed,Closed,Closed,Closed,Closed
233,7.767172968274663,0.1109897154807655,Open,Closed,Closed,Closed,Closed
234,7.8005084745762705,0.1159493836438455,Open,Closed,Closed,Closed,Closed
235,7.833843980877879,0.0719764313293237,Closed,Closed,Closed,Closed,Closed
236,7.867179487179487,0.1141008356837484,Open,Closed,Closed,Closed,Closed
237,7.900514993481095,0.0652810368946747,Closed,Closed,Closed,Closed,Closed
238,7.933850499782703,0.0495822182756849,Closed,Closed,Closed,Closed,Closed
239,7.967186006084311,0.0832314945210923,Closed,Closed,Closed,Closed,Closed
240,8.00052151238592,0.1758717721610221,Open,Closed,Closed,Closed,Closed
241,8.033857018687527,0.2059336799234047,Open,Open,Closed,Closed,Closed
242,8.067192524989135,0.1695926652804827,Open,Closed,Closed,Closed,Closed
243,8.100528031290743,0.1730449280820888,Open,Closed,Closed,Closed,Closed
244,8.133863537592351,0.1760617879694249,Open,Closed,Closed,Closed,Closed
245,8.167199043893959,0.1533618930347389,Open,Closed,Closed,Closed,Closed
246,8.200534550195567,0.1668728098087443,Open,Closed,Closed,Closed,Closed
247,8.233870056497175,0.1465378029328939,Open,Closed,Closed,Closed,Closed
248,8.267205562798782,0.0978116901255651,Closed,Closed,Closed,Closed,Closed
249,8.30054106910039,0.1028233284463475,Closed,Closed,Closed,Closed,Closed
250,8.333876575401998,0.083836108585408,Closed,Closed,Closed,Closed,Closed
251,8.367212081703606,0.1153487807565352,Open,Closed,Closed,Closed,Closed
252,8.400547588005216,0.1107436271005976,Open,Closed,Closed,Closed,Closed
253,8.433883094306823,0.120496839159977,Open,Closed,Closed,Closed,Closed
254,8.467218600608431,0.0966425600830309,Closed,Closed,Closed,Closed,Closed
255,8.50055410691004,0.1300834705674673,Open,Closed,Closed,Closed,Closed
256,8.533889613211647,0.1298984493036263,Open,Closed,Closed,Closed,Closed
257,8.567225119513255,0.1390852038224364,Open,Closed,Closed,Closed,Closed
258,8.600560625814863,0.1435800881114691,Open,Closed,Closed,Closed,Closed
259,8.63389613211647,0.1164608614912028,Open,Closed,Closed,Closed,Closed
260,8.667231638418079,0.1000827950195263,Closed,Closed,Closed,Closed,Closed
261,8.700567144719686,0.2048619403976878,Open,Open,Closed,Closed,Closed
262,8.733902651021294,0.2074895213233215,Open,Open,Closed,Closed,Closed
263,8.767238157322902,0.1958041958041958,Open,Closed,Closed,Closed,Closed
264,8.80057366362451,0.1749492720655852,Open,Closed,Closed,Closed,Closed
265,8.833909169926118,0.1873129707912078,Open,Closed,Closed,Closed,Closed
266,8.867244676227727,0.1725832672601088,Open,Closed,Closed,Closed,Closed
267,8.900580182529335,0.0982544821599403,Closed,Closed,Closed,Closed,Closed
268,8.933915688830943,0.1416128544377431,Open,Closed,Closed,Closed,Closed
269,8.967251195132551,0.0757347210761002,Closed,Closed,Closed,Closed,Closed
270,9.000586701434159,0.080683201911998,Closed,Closed,Closed,Closed,Closed
271,9.033922207735769,0.1432013774354034,Open,Closed,Closed,Closed,Closed
272,9.067257714037376,0.1241334176620143,Open,Closed,Closed,Closed,Closed
273,9.100593220338984,0.0789380563579439,Closed,Closed,Closed,Closed,Closed
274,9.13392872664059,0.0763648986037971,Closed,Closed,Closed,Closed,Closed
275,9.167264232942198,0.0674697079573729,Closed,Closed,Closed,Closed,Closed
276,9.200599739243806,0.1078269865794663,Open,Closed,Closed,Closed,Closed
277,9.233935245545414,0.0441315924928029,Closed,Closed,Closed,Closed,Closed
278,9.267270751847022,0.0280364036714498,Closed,Closed,Closed,Closed,Closed
279,9.300606258148632,0.0516550854280401,Closed,Closed,Closed,Closed,Closed
280,9.33394176445024,0.0480626466661179,Closed,Closed,Closed,Closed,Closed
281,9.367277270751847,0.0470320415436955,Closed,Closed,Closed,Closed,Closed
282,9.400612777053457,0.0977994379222674,Closed,Closed,Closed,Closed,Closed
283,9.433948283355065,0.1409725543843717,Open,Closed,Closed,Closed,Closed
284,9.46728378965667,0.1667042908697694,Open,Closed,Closed,Closed,Closed
285,9.50061929595828,0.175549288816784,Open,Closed,Closed,Closed,Closed
286,9.533954802259888,0.1388264774456283,Open,Closed,Closed,Closed,Closed
287,9.567290308561494,0.1380204967903194,Open,Closed,Closed,Closed,Closed
288,9.600625814863102,0.1032937344433628,Closed,Closed,Closed,Closed,Closed
289,9.63396132116471,0.0957373164762012,Closed,Closed,Closed,Closed,Closed
290,9.667296827466318,0.1185357760658471,Open,Closed,Closed,Closed,Closed
291,9.700632333767926,0.074470037967287,Closed,Closed,Closed,Closed,Closed
292,9.733967840069534,0.0993083474725622,Closed,Closed,Closed,Closed,Closed
293,9.767303346371143,0.0853554907010491,Closed,Closed,Closed,Closed,Closed
294,9.800638852672751,0.0960249270386803,Closed,Closed,Closed,Closed,Closed
295,9.83397435897436,0.0705023987910632,Closed,Closed,Closed,Closed,Closed
296,9.867309865275969,0.0765594591703456,Closed,Closed,Closed,Closed,Closed
297,9.900645371577577,0.0818451071997503,Closed,Closed,Closed,Closed,Closed
298,9.933980877879184,0.1124665120964609,Open,Closed,Closed,Closed,Closed
299,9.96731638418079,0.079531458238703,Closed,Closed,Closed,Closed,Closed
300,10.000651890482398,0.0868265308401169,Closed,Closed,Closed,Closed,Closed
301,10.033987396784006,0.0508216475916359,Closed,Closed,Closed,Closed,Closed
302,10.067322903085614,0.0838956459097995,Closed,Closed,Closed,Closed,Closed
303,10.100658409387222,0.1496095168481015,Open,Closed,Closed,Closed,Closed
304,10.13399391568883,0.2225425672511228,Open,Open,Closed,Closed,Closed
305,10.167329421990438,0.2278475491915798,Open,Open,Closed,Closed,Closed
306,10.200664928292047,0.2315327972177558,Open,Open,Closed,Closed,Closed
307,10.234000434593655,0.1471737676292638,Open,Closed,Closed,Closed,Closed
308,10.267335940895263,0.1380951493365001,Open,Closed,Closed,Closed,Closed
309,10.300671447196873,0.1668659776914431,Open,Closed,Closed,Closed,Closed
310,10.33400695349848,0.1489251116121017,Open,Closed,Closed,Closed,Closed
311,10.367342459800089,0.1302425765825416,Open,Closed,Closed,Closed,Closed
312,10.400677966101696,0.0841780325374368,Closed,Closed,Closed,Closed,Closed
313,10.434013472403302,0.0850992631031746,Closed,Closed,Closed,Closed,Closed
314,10.46734897870491,0.0697692958446347,Closed,Closed,Closed,Closed,Closed
315,10.500684485006518,0.0222776030776675,Closed,Closed,Closed,Closed,Closed
316,10.534019991308126,0.0603075323480628,Closed,Closed,Closed,Closed,Closed
317,10.567355497609734,0.0290576786218757,Closed,Closed,Closed,Closed,Closed
318,10.600691003911342,0.0489405336514096,Closed,Closed,Closed,Closed,Closed
319,10.63402651021295,0.0663300256314593,Closed,Closed,Closed,Closed,Closed
320,10.66736201651456,0.0947593699906522,Closed,Closed,Closed,Closed,Closed
321,10.700697522816167,0.0615588048031835,Closed,Closed,Closed,Closed,Closed
322,10.734033029117777,0.0683209130771486,Closed,Closed,Closed,Closed,Closed
323,10.767368535419385,0.0844016951475582,Closed,Closed,Closed,Closed,Closed
324,10.80070404172099,0.0959944324843691,Closed,Closed,Closed,Closed,Closed
325,10.8340395480226,0.0705587753049341,Closed,Closed,Closed,Closed,Closed
326,10.867375054324206,0.1740596673375766,Open,Closed,Closed,Closed,Closed
327,10.900710560625814,0.1469051276267861,Open,Closed,Closed,Closed,Closed
328,10.934046066927422,0.1246097489966757,Open,Closed,Closed,Closed,Closed
329,10.96738157322903,0.1261185414593102,Open,Closed,Closed,Closed,Closed
330,11.000717079530638,0.1721663545837836,Open,Closed,Closed,Closed,Closed
