frame,timestamp,anchor_to_nose,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
268,8.933915688830943,136.8669988724683,Open,Open,Open,Closed,Closed
269,8.967251195132551,135.01078276268794,Open,Open,Open,Closed,Closed
270,9.000586701434159,129.79436984336854,Open,Open,Open,Closed,Closed
271,9.033922207735769,125.97740394808136,Open,Open,Closed,Closed,Closed
272,9.067257714037376,125.70322337751298,Open,Open,Closed,Closed,Closed
273,9.100593220338984,128.45549135109923,Open,Open,Open,Closed,Closed
274,9.13392872664059,124.50210080324896,Open,Open,Closed,Closed,Closed
275,9.167264232942198,123.40919992735198,Open,Open,Closed,Closed,Closed
276,9.200599739243806,123.49511144883591,Open,Open,Closed,Closed,Closed
277,9.233935245545414,127.05148334440094,Open,Open,Closed,Closed,Closed
278,9.267270751847022,124.80744057177802,Open,Open,Closed,Closed,Closed
279,9.300606258148632,122.60200273405933,Open,Open,Closed,Closed,Closed
280,9.33394176445024,120.1447975361395,Open,Open,Closed,Closed,Closed
281,9.367277270751847,124.89560105752344,Open,Open,Closed,Closed,Closed
282,9.400612777053457,125.3445949817798,Open,Open,Closed,Closed,Closed
283,9.433948283355065,134.2997580030788,Open,Open,Open,Closed,Closed
284,9.46728378965667,131.1274993523489,Open,Open,Open,Closed,Closed
285,9.50061929595828,133.73935777564282,Open,Open,Open,Closed,Closed
286,9.533954802259888,132.9462405040734,Open,Open,Open,Closed,Closed
287,9.567290308561494,135.23392705838924,Open,Open,Open,Closed,Closed
288,9.600625814863102,134.06808617016776,Open,Open,Open,Closed,Closed
289,9.63396132116471,133.7586529996896,Open,Open,Open,Closed,Closed
290,9.667296827466318,130.41281501208042,Open,Open,Open,Closed,Closed
291,9.700632333767926,129.84826362574452,Open,Open,Open,Closed,Closed
292,9.733967840069534,130.6854150509566,Open,Open,Open,Closed,Closed
293,9.767303346371143,128.65040052096958,Open,Open,Open,Closed,Closed
294,9.800638852672751,131.65709121488788,Open,Open,Open,Closed,Closed
295,9.83397435897436,128.32702234660238,Open,Open,Open,Closed,Closed
296,9.867309865275969,129.2014015774957,Open,Open,Open,Closed,Closed
297,9.900645371577577,130.02609850119447,Open,Open,Open,Closed,Closed
298,9.933980877879184,128.33014929626066,Open,Open,Open,Closed,Closed
299,9.96731638418079,128.5933881147192,Open,Open,Open,Closed,Closed
300,10.000651890482398,126.70832032063169,Open,Open,Closed,Closed,Closed
301,10.033987396784006,131.7066736943628,Open,Open,Open,Closed,Closed
302,10.067322903085614,126.48275605729692,Open,Open,Closed,Closed,Closed
303,10.100658409387222,130.1495081500635,Open,Open,Open,Closed,Closed
304,10.13399391568883,134.8990661679567,Open,Open,Open,Closed,Closed
305,10.167329421990438,138.95376428235238,Open,Open,Open,Open,Closed
306,10.200664928292047,135.55671477612884,Open,Open,Open,Closed,Closed
307,10.234000434593655,137.74391419207012,Open,Open,Open,Open,Closed
308,10.267335940895263,136.67960922510804,Open,Open,Open,Closed,Closed
309,10.300671447196873,136.9144406566368,Open,Open,Open,Closed,Closed
310,10.33400695349848,134.1557924992576,Open,Open,Open,Closed,Closed
311,10.367342459800089,135.99407406880022,Open,Open,Open,Closed,Closed
312,10.400677966101696,131.99211905379082,Open,Open,Open,Closed,Closed
313,10.434013472403302,130.20341055186512,Open,Open,Open,Closed,Closed
314,10.46734897870491,128.24196593781812,Open,Open,Open,Closed,Closed
315,10.500684485006518,127.72405655078788,Open,Open,Closed,Closed,Closed
316,10.534019991308126,127.57533911266177,Open,Open,Closed,Closed,Closed
317,10.567355497609734,127.48541489395568,Open,Open,Closed,Closed,Closed
318,10.600691003911342,127.95550559063672,Open,Open,Closed,Closed,Closed
319,10.63402651021295,127.6000845396243,Open,Open,Closed,Closed,Closed
320,10.66736201651456,126.51586503901636,Open,Open,Closed,Closed,Closed
321,10.700697522816167,124.36124840923624,Open,Open,Closed,Closed,Closed
322,10.734033029117777,124.62176499068492,Open,Open,Closed,Closed,Closed
323,10.767368535419385,117.76720037379722,Open,Closed,Closed,Closed,Closed
324,10.80070404172099,123.54250008016233,Open,Open,Closed,Closed,Closed
325,10.8340395480226,133.2765111477858,Open,Open,Open,Closed,Closed
326,10.867375054324206,133.32561725017047,Open,Open,Open,Closed,Closed
327,10.900710560625814,137.90775206953688,Open,Open,Open,Open,Closed
328,10.934046066927422,135.74586781487986,Open,Open,Open,Closed,Closed
329,10.96738157322903,135.22934089774657,Open,Open,Open,Closed,Closed
330,11.000717079530638,129.924802795354,Open,Open,Open,Closed,Closed
331,11.034052585832246,127.4433740997193,Open,Open,Closed,Closed,Closed
332,11.067388092133854,132.8351016550463,Open,Open,Open,Closed,Closed
