frame,timestamp,aspect_ratio__mouth_width__inside_lips,thresh_1,thresh_2,thresh_3,thresh_4,thresh_5
205,6.833778791829639,5.878858359388844,Closed,Closed,Closed,Closed,Closed
206,6.867114298131247,6.606110771327745,Closed,Closed,Closed,Closed,Closed
207,6.900449804432855,8.65882483508891,Closed,Closed,Closed,Closed,Closed
208,6.933785310734463,21.280341660238225,Open,Closed,Closed,Closed,Closed
209,6.967120817036071,8.272484511922645,Closed,Closed,Closed,Closed,Closed
210,7.000456323337679,9.848247965399125,Closed,Closed,Closed,Closed,Closed
211,7.033791829639287,8.346836721652014,Closed,Closed,Closed,Closed,Closed
212,7.067127335940895,8.972560911750252,Closed,Closed,Closed,Closed,Closed
213,7.100462842242503,7.969613493076371,Closed,Closed,Closed,Closed,Closed
214,7.1337983485441105,8.478451883537666,Closed,Closed,Closed,Closed,Closed
215,7.167133854845719,12.65898890117216,Closed,Closed,Closed,Closed,Closed
216,7.200469361147327,6.549240235348827,Closed,Closed,Closed,Closed,Closed
217,7.233804867448935,6.022696295054281,Closed,Closed,Closed,Closed,Closed
218,7.267140373750543,7.247150957961432,Closed,Closed,Closed,Closed,Closed
219,7.300475880052151,3.4590461112855957,Closed,Closed,Closed,Closed,Closed
220,7.333811386353759,4.27575737937914,Closed,Closed,Closed,Closed,Closed
221,7.367146892655367,4.080965364465091,Closed,Closed,Closed,Closed,Closed
222,7.400482398956975,5.14675053756158,Closed,Closed,Closed,Closed,Closed
223,7.433817905258583,5.764272465862701,Closed,Closed,Closed,Closed,Closed
224,7.467153411560191,5.75253995869054,Closed,Closed,Closed,Closed,Closed
225,7.500488917861799,6.891956319775689,Closed,Closed,Closed,Closed,Closed
226,7.533824424163407,5.853846250420904,Closed,Closed,Closed,Closed,Closed
227,7.567159930465015,6.564401766983464,Closed,Closed,Closed,Closed,Closed
228,7.600495436766623,10.520992118986936,Closed,Closed,Closed,Closed,Closed
229,7.633830943068231,8.375657546978761,Closed,Closed,Closed,Closed,Closed
230,7.667166449369839,10.152737467209423,Closed,Closed,Closed,Closed,Closed
231,7.700501955671447,10.898306149263608,Closed,Closed,Closed,Closed,Closed
232,7.733837461973055,13.023722468586907,Closed,Closed,Closed,Closed,Closed
233,7.767172968274663,9.009843801007849,Closed,Closed,Closed,Closed,Closed
234,7.8005084745762705,8.62445291707317,Closed,Closed,Closed,Closed,Closed
235,7.833843980877879,13.893436803285809,Closed,Closed,Closed,Closed,Closed
236,7.867179487179487,8.764177703059815,Closed,Closed,Closed,Closed,Closed
237,7.900514993481095,15.31838413678099,Closed,Closed,Closed,Closed,Closed
238,7.933850499782703,20.168520787832477,Open,Closed,Closed,Closed,Closed
239,7.967186006084311,12.014682732226824,Closed,Closed,Closed,Closed,Closed
240,8.00052151238592,5.685960786728381,Closed,Closed,Closed,Closed,Closed
241,8.033857018687527,4.8559322611626285,Closed,Closed,Closed,Closed,Closed
242,8.067192524989135,5.896481421210868,Closed,Closed,Closed,Closed,Closed
243,8.100528031290743,5.778846055087041,Closed,Closed,Closed,Closed,Closed
244,8.133863537592351,5.679824177257934,Closed,Closed,Closed,Closed,Closed
245,8.167199043893959,6.520524624545969,Closed,Closed,Closed,Closed,Closed
246,8.200534550195567,5.992588014465128,Closed,Closed,Closed,Closed,Closed
247,8.233870056497175,6.824177652355984,Closed,Closed,Closed,Closed,Closed
248,8.267205562798782,10.223726823616447,Closed,Closed,Closed,Closed,Closed
249,8.30054106910039,9.72541946569832,Closed,Closed,Closed,Closed,Closed
250,8.333876575401998,11.928034553050018,Closed,Closed,Closed,Closed,Closed
251,8.367212081703606,8.669359081572635,Closed,Closed,Closed,Closed,Closed
252,8.400547588005216,9.02986497897181,Closed,Closed,Closed,Closed,Closed
253,8.433883094306823,8.298972877391043,Closed,Closed,Closed,Closed,Closed
254,8.467218600608431,10.347408006791673,Closed,Closed,Closed,Closed,Closed
255,8.50055410691004,7.68737177473562,Closed,Closed,Closed,Closed,Closed
256,8.533889613211647,7.698321306843216,Closed,Closed,Closed,Closed,Closed
257,8.567225119513255,7.18983739835226,Closed,Closed,Closed,Closed,Closed
258,8.600560625814863,6.96475404879014,Closed,Closed,Closed,Closed,Closed
259,8.63389613211647,8.58657567182377,Closed,Closed,Closed,Closed,Closed
260,8.667231638418079,9.991727347391713,Closed,Closed,Closed,Closed,Closed
261,8.700567144719686,4.881336172344907,Closed,Closed,Closed,Closed,Closed
262,8.733902651021294,4.819520492515596,Closed,Closed,Closed,Closed,Closed
263,8.767238157322902,5.107142857142857,Closed,Closed,Closed,Closed,Closed
264,8.80057366362451,5.7159426169267995,Closed,Closed,Closed,Closed,Closed
265,8.833909169926118,5.338658587155025,Closed,Closed,Closed,Closed,Closed
266,8.867244676227727,5.794304487774301,Closed,Closed,Closed,Closed,Closed
267,8.900580182529335,10.17765274435198,Closed,Closed,Closed,Closed,Closed
268,8.933915688830943,7.061505849665839,Closed,Closed,Closed,Closed,Closed
269,8.967251195132551,13.203983401419986,Closed,Closed,Closed,Closed,Closed
270,9.000586701434159,12.39415363176476,Closed,Closed,Closed,Closed,Closed
271,9.033922207735769,6.9831730525852596,Closed,Closed,Closed,Closed,Closed
272,9.067257714037376,8.055848447859235,Closed,Closed,Closed,Closed,Closed
273,9.100593220338984,12.668160911709156,Closed,Closed,Closed,Closed,Closed
274,9.13392872664059,13.095021643232773,Closed,Closed,Closed,Closed,Closed
275,9.167264232942198,14.821466259077257,Closed,Closed,Closed,Closed,Closed
276,9.200599739243806,9.274116171864078,Closed,Closed,Closed,Closed,Closed
277,9.233935245545414,22.65950407665622,Open,Closed,Closed,Closed,Closed
278,9.267270751847022,35.66791275081849,Open,Open,Closed,Closed,Closed
279,9.300606258148632,19.35917812764214,Open,Closed,Closed,Closed,Closed
280,9.33394176445024,20.80617838103695,Open,Closed,Closed,Closed,Closed
281,9.367277270751847,21.26210062709993,Open,Closed,Closed,Closed,Closed
282,9.400612777053457,10.225007640583945,Closed,Closed,Closed,Closed,Closed
283,9.433948283355065,7.093579345050586,Closed,Closed,Closed,Closed,Closed
284,9.46728378965667,5.998645834384714,Closed,Closed,Closed,Closed,Closed
285,9.50061929595828,5.696405874043001,Closed,Closed,Closed,Closed,Closed
286,9.533954802259888,7.203236863743461,Closed,Closed,Closed,Closed,Closed
287,9.567290308561494,7.245300685442385,Closed,Closed,Closed,Closed,Closed
288,9.600625814863102,9.68112930942885,Closed,Closed,Closed,Closed,Closed
289,9.63396132116471,10.445247859528038,Closed,Closed,Closed,Closed,Closed
290,9.667296827466318,8.436271589806738,Closed,Closed,Closed,Closed,Closed
291,9.700632333767926,13.428219285174478,Closed,Closed,Closed,Closed,Closed
292,9.733967840069534,10.069646967756547,Closed,Closed,Closed,Closed,Closed
293,9.767303346371143,11.715707938490102,Closed,Closed,Closed,Closed,Closed
294,9.800638852672751,10.413962611991202,Closed,Closed,Closed,Closed,Closed
295,9.83397435897436,14.183914549681363,Closed,Closed,Closed,Closed,Closed
296,9.867309865275969,13.061743262514296,Closed,Closed,Closed,Closed,Closed
297,9.900645371577577,12.218201358810736,Closed,Closed,Closed,Closed,Closed
298,9.933980877879184,8.891535634556837,Closed,Closed,Closed,Closed,Closed
299,9.96731638418079,12.573640948448768,Closed,Closed,Closed,Closed,Closed
300,10.000651890482398,11.517217034058488,Closed,Closed,Closed,Closed,Closed
301,10.033987396784006,19.676654484625104,Open,Closed,Closed,Closed,Closed
302,10.067322903085614,11.919569712534916,Closed,Closed,Closed,Closed,Closed
303,10.100658409387222,6.684066769731629,Closed,Closed,Closed,Closed,Closed
304,10.13399391568883,4.493522351036662,Closed,Closed,Closed,Closed,Closed
305,10.167329421990438,4.388899523159564,Closed,Closed,Closed,Closed,Closed
306,10.200664928292047,4.31904253745746,Closed,Closed,Closed,Closed,Closed
307,10.234000434593655,6.794689135899797,Closed,Closed,Closed,Closed,Closed
308,10.267335940895263,7.241383964640738,Closed,Closed,Closed,Closed,Closed
309,10.300671447196873,5.992833373434159,Closed,Closed,Closed,Closed,Closed
310,10.33400695349848,6.714784291078141,Closed,Closed,Closed,Closed,Closed
311,10.367342459800089,7.677980782008306,Closed,Closed,Closed,Closed,Closed
312,10.400677966101696,11.879583899222943,Closed,Closed,Closed,Closed,Closed
313,10.434013472403302,11.750983070060157,Closed,Closed,Closed,Closed,Closed
314,10.46734897870491,14.33295245270704,Closed,Closed,Closed,Closed,Closed
315,10.500684485006518,44.88813255688462,Open,Open,Open,Closed,Closed
316,10.534019991308126,16.581676634164594,Open,Closed,Closed,Closed,Closed
317,10.567355497609734,34.41431137748083,Open,Open,Closed,Closed,Closed
318,10.600691003911342,20.432960684955592,Open,Closed,Closed,Closed,Closed
319,10.63402651021295,15.076128653351754,Closed,Closed,Closed,Closed,Closed
320,10.66736201651456,10.553046100862083,Closed,Closed,Closed,Closed,Closed
321,10.700697522816167,16.24462988190251,Open,Closed,Closed,Closed,Closed
322,10.734033029117777,14.63680672520858,Closed,Closed,Closed,Closed,Closed
323,10.767368535419385,11.848103266785284,Closed,Closed,Closed,Closed,Closed
324,10.80070404172099,10.417270815813517,Closed,Closed,Closed,Closed,Closed
325,10.8340395480226,14.172581591422125,Closed,Closed,Closed,Closed,Closed
326,10.867375054324206,5.745156332285579,Closed,Closed,Closed,Closed,Closed
327,10.900710560625814,6.807114333956464,Closed,Closed,Closed,Closed,Closed
328,10.934046066927422,8.025054283888153,Closed,Closed,Closed,Closed,Closed
329,10.96738157322903,7.929048246427991,Closed,Closed,Closed,Closed,Closed
330,11.000717079530638,5.808335794862617,Closed,Closed,Closed,Closed,Closed
331,11.034052585832246,7.0009767328334425,Closed,Closed,Closed,Closed,Closed
332,11.067388092133854,8.398860957571296,Closed,Closed,Closed,Closed,Closed
333,11.100723598435462,17.959623518411433,Open,Closed,Closed,Closed,Closed
334,11.134059104737071,10.274435477934729,Closed,Closed,Closed,Closed,Closed
335,11.16739461103868,12.61177103181595,Closed,Closed,Closed,Closed,Closed
336,11.200730117340289,15.676250431343806,Closed,Closed,Closed,Closed,Closed
337,11.234065623641897,15.263673533253051,Closed,Closed,Closed,Closed,Closed
