frame,timestamp,behind_hand,p49_p51,p49_p59,p49_p62,p49_p68,p49_p52,p49_p63,p49_p67,p49_p58,p49_p9,p49_p34,p55_p53,p55_p57,p55_p64,p55_p66,p55_p52,p55_p63,p55_p67,p55_p58,p55_p9,p55_p34,p49_p55,p34_p52,p52_p63,p63_p67,p67_p58,p58_p9
40,1.3333814681107101,False,78.2368199762746,70.178344238091,67.4166151627327,62.80127387243033,92.61209424259879,87.09190547921202,83.72574275573791,91.23595782365635,165.0272704737008,131.24404748406687,69.35416353759881,62.42595614005443,57.245087125446844,52.61178575186362,83.24061508662703,76.84399781375251,74.67261881037788,84.53401682163222,167.45148551147582,124.03628501370073,157.00318468107582,61.00819617067857,16.0,34.0147027033899,29.017236257093817,107.22872749408155
41,1.3667160048134777,False,79.81227975693966,73.10950690573696,66.85057965343307,62.0966987850401,93.02150289046077,84.8999411071645,82.97590011563598,93.81364506296512,167.7647161950331,129.8345100502944,70.76722405181653,65.94694837519019,55.94640292279746,51.66236541235796,85.44003745317531,77.4919350642375,75.31268153505093,87.46427842267951,170.1763790894612,125.09996003196804,155.05160431288675,57.0087712549569,20.024984394500787,40.01249804748511,31.016124838541646,103.39245620450265
42,1.4000505415162454,False,85.63293758829018,78.49203781276162,69.31810730249349,62.39390995922599,98.6154146165801,88.86506625215557,83.81527307120105,98.00510190801293,158.3445610054226,136.65284482951682,73.23933369440222,69.42621983083913,54.817880294662984,49.39635614091387,85.27602242131137,74.68600939935136,74.04052944165107,90.0,161.89502771858065,129.1394595001853,151.0529708413575,57.0,21.02379604162864,54.147945482723536,33.015148038438355,85.70880934886448
43,1.4333850782190132,False,85.70297544426332,74.96665925596525,70.80254232723568,62.16912416947821,98.60020283954795,88.11923740024082,82.54089895318563,92.91393867445294,162.34839081432253,143.69411957348845,76.21679604916491,71.7007670809734,61.220911460055866,55.226805085936306,86.05230967266364,76.94153624668537,75.15317691222374,89.49860334105779,168.6001186239203,129.86531484580476,146.08559134972896,59.07622195096772,18.027756377319946,68.0,25.019992006393608,94.19129471453293
44,1.466719614921781,False,88.61715409558128,71.02112361825881,72.42237223399962,60.67124524847005,101.04454463255303,90.35485598461214,82.38931969618392,91.28526715741155,151.85519418182574,147.56693396557372,73.23933369440222,56.72741841473134,53.907327887774215,41.43669871020132,82.21921916437786,69.35416353759881,61.40032573203501,74.65252842335616,132.18925826253812,130.17680284904833,141.28694207179942,61.00819617067857,21.02379604162864,50.039984012787215,30.01666203960727,79.42921376924235
45,1.5000541516245487,False,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1.5333886883273165,False,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1.5667232250300842,False,86.27861844049197,67.4166151627327,71.28113354878694,59.682493245507096,97.20082304178294,88.11923740024082,78.40918313565064,84.17244204607586,132.4009063413087,142.8355697996826,63.702433234531945,63.0317380372777,50.24937810560445,47.4236228055175,71.84705978674423,63.694583757176716,64.07807737440318,78.74642849044012,146.71059948074645,117.33712115098103,138.0507153186828,61.00819617067857,17.0,49.0,26.019223662515376,79.40403012442127
48,1.600057761732852,True,97.67292357659824,80.44874144447506,75.66372975210778,67.60177512462228,113.00442469213318,98.2344135219425,93.43446901438462,105.11898020814318,197.2232237846243,147.41099009232656,86.02325267042627,67.94115100585212,61.032778078668514,48.05205510693585,97.83659846908007,81.43709228600933,72.99315036357864,88.81441324469807,194.4659353203023,139.7855500400524,165.0272704737008,52.15361924162119,30.0,46.04345773288535,40.0,127.06297651164952
49,1.6333922984356197,False,71.42128534267638,53.33854141237835,59.0592922409336,56.302753041036986,82.09750300709517,74.84650960465692,72.80109889280519,72.11102550927978,121.75385004179539,128.16005617976296,58.7962583843564,42.37924020083418,46.61544808322666,44.14748010928823,69.35416353759881,62.0966987850401,59.413803110051795,59.481089431852205,113.21660655575224,112.36102527122117,129.65338406690356,62.00806399170998,17.029386365926403,9.055385138137417,24.08318915758459,86.57944328765345
