Frames,T095258,T495558,T636709,T094955,T051358,L4955,L5258,L0958,L0952
2775,27.0,774.0,55.5,7646.0,2345.0,130.98091464026353,41.30375285612676,104.93807697875924,146.23952953972466
2776,143.5,660.0,96.0,8511.5,7110.5,135.14806694880988,44.91102314577124,116.2497311824849,161.11176245079065
2777,158.0,687.0,7.0,8162.5,6682.5,133.98880550254935,44.721359549995796,111.75866856758807,156.41611170208776
2778,91.0,572.0,49.5,8034.0,6512.0,132.5745073534124,43.56604182158393,112.8716084761797,156.41611170208776
2779,69.0,690.0,37.5,7698.0,5568.5,125.76565508913791,44.40720662234904,111.64676439557037,156.0416611036937
2780,72.0,676.0,15.5,7864.0,6521.5,125.60254774486066,45.39823785126467,114.6298390472568,160.01562423713506
2781,58.0,622.0,4.5,7375.0,5628.0,118.53269591129698,45.5411901469428,113.99122773266372,159.52429282087414
2782,95.5,644.0,7.0,6973.5,5144.0,114.58621208504974,53.46026561849464,110.47624178980746,163.9176622576103
2783,127.0,920.0,104.0,7242.5,5031.5,116.72617529928752,59.413803110051795,108.34205093129813,167.72596698186004
2784,45.5,983.0,94.5,7274.5,4719.5,114.58621208504974,61.40032573203501,109.89540481748998,171.29214809792072
2785,9.5,793.5,37.5,7291.5,6055.0,112.44998888394787,61.814237842102365,115.57248807566617,177.38658348364456
2786,77.0,979.0,159.0,7857.0,5224.5,115.11733144926528,64.6297145282261,119.5198728245642,184.14125013152267
2787,66.0,1169.0,100.5,7701.0,4180.0,111.15754585272202,68.73136110975832,117.5457357797381,186.27130750601393
2788,392.0,1158.5,213.5,7444.5,3972.5,109.32977636490436,68.73136110975832,115.44695751729449,183.96738841436002
2789,375.0,1545.0,162.0,7257.0,2193.0,109.32977636490436,78.77182237323191,104.78549517943789,183.3712082089225
2790,196.0,1544.5,116.0,6317.0,244.5,104.5609869884557,79.2464510246358,91.44397191723465,170.6282508847817
2791,204.0,1711.5,209.0,6555.0,250.0,106.70520137275409,82.87339742040264,90.80198235721508,173.61163555476344
